id,rank,discipline,sex,salary
1,Prof,B,Male,139750
2,Prof,B,Male,173200
3,AsstProf,B,Male,79750
4,Prof,B,Male,115000
5,Prof,B,Male,141500
6,AssocProf,B,Male,97000
7,Prof,B,Male,175000
8,Prof,B,Male,147765
9,Prof,B,Male,119250
10,Prof,B,Female,129000
11,AssocProf,B,Male,119800
12,AsstProf,B,Male,79800
13,AsstProf,B,Male,77700
14,AsstProf,B,Male,78000
15,Prof,B,Male,104800
16,Prof,B,Male,117150
17,Prof,B,Male,101000
18,Prof,A,Male,103450
19,Prof,A,Male,124750
20,Prof,A,Female,137000
21,Prof,A,Male,89565
22,Prof,A,Male,102580
23,Prof,A,Male,93904
24,Prof,A,Male,113068
25,AssocProf,A,Female,74830
26,Prof,A,Male,106294
27,Prof,A,Male,134885
28,AsstProf,B,Male,82379
29,AsstProf,B,Male,77000
30,Prof,B,Male,118223
31,Prof,B,Male,132261
32,AsstProf,B,Male,79916
33,Prof,B,Male,117256
34,AsstProf,B,Male,80225
35,AsstProf,B,Female,80225
36,AsstProf,B,Female,77000
37,Prof,B,Male,155750
38,AsstProf,B,Male,86373
39,Prof,B,Male,125196
40,AssocProf,B,Male,100938
41,Prof,B,Male,146500
42,AssocProf,B,Male,93418
43,Prof,B,Male,101299
44,Prof,B,Male,231545
45,Prof,B,Male,94384
46,Prof,B,Male,114778
47,Prof,B,Male,98193
48,Prof,B,Female,151768
49,Prof,B,Female,140096
50,AsstProf,B,Male,70768
51,Prof,B,Male,126621
52,Prof,B,Male,108875
53,AsstProf,B,Female,74692
54,Prof,B,Male,106639
55,AssocProf,B,Male,103760
56,AssocProf,B,Male,83900
57,Prof,B,Male,117704
58,AssocProf,B,Male,90215
59,AssocProf,B,Male,100135
60,AsstProf,B,Male,75044
61,AssocProf,B,Male,90304
62,AsstProf,B,Male,75243
63,Prof,B,Male,109785
64,AssocProf,B,Female,103613
65,AsstProf,B,Male,68404
66,AssocProf,B,Male,100522
67,Prof,B,Male,101000
68,Prof,B,Male,99418
69,Prof,B,Female,111512
70,Prof,B,Male,91412
71,Prof,B,Male,126320
72,Prof,B,Male,146856
73,Prof,B,Male,100131
74,Prof,B,Male,92391
75,Prof,B,Male,113398
76,AsstProf,B,Male,73266
77,Prof,B,Male,150480
78,Prof,B,Male,193000
79,AsstProf,B,Male,86100
80,AsstProf,B,Male,84240
81,Prof,B,Male,150743
82,Prof,B,Male,135585
83,Prof,B,Male,144640
84,AsstProf,B,Male,88825
85,Prof,B,Female,122960
86,Prof,B,Male,132825
87,Prof,B,Male,152708
88,AsstProf,B,Male,88400
89,Prof,B,Male,172272
90,AssocProf,B,Male,107008
91,AsstProf,B,Female,97032
92,AssocProf,B,Male,105128
93,AssocProf,B,Male,105631
94,Prof,B,Male,166024
95,Prof,B,Male,123683
96,AsstProf,B,Male,84000
97,AssocProf,B,Male,95611
98,Prof,B,Male,129676
99,Prof,B,Male,102235
100,Prof,B,Male,106689
101,Prof,B,Male,133217
102,Prof,B,Male,126933
103,Prof,B,Male,153303
104,Prof,B,Female,127512
105,AssocProf,A,Male,83850
106,Prof,A,Male,113543
107,AssocProf,A,Male,82099
108,AssocProf,A,Male,82600
109,AssocProf,A,Male,81500
110,Prof,A,Male,131205
111,Prof,A,Male,112429
112,AssocProf,A,Male,82100
113,AsstProf,A,Male,72500
114,Prof,A,Male,104279
115,Prof,A,Female,105000
116,Prof,A,Male,120806
117,Prof,A,Male,148500
118,Prof,A,Male,117515
119,AsstProf,A,Male,72500
120,AsstProf,A,Female,73500
121,Prof,A,Male,115313
122,Prof,A,Male,124309
123,Prof,A,Male,97262
124,AssocProf,A,Female,62884
125,Prof,A,Male,96614
126,Prof,A,Male,78162
127,Prof,A,Male,155500
128,AsstProf,A,Female,72500
129,Prof,A,Male,113278
130,AsstProf,A,Male,73000
131,AssocProf,A,Male,83001
132,Prof,A,Male,76840
133,AssocProf,A,Female,77500
134,AsstProf,A,Female,72500
135,Prof,A,Male,168635
136,Prof,A,Male,136000
137,Prof,A,Male,108262
138,Prof,A,Male,105668
139,AssocProf,A,Male,73877
